,id,name,city,experience,type,address,published_at,archived,employer,contacts,schedule,employer_trusted,professional_roles
62,53482841,Аналитик-товаровед,Алматы,От 3 до 6 лет,Открытая,,2022-03-29T11:47:42+0300,False,"Горецкий,(Магазин Швейная Фурнитура)",,fullDay,True,Товаровед
63,53369006,Финансовый аналитик,Алматы,От 3 до 6 лет,Открытая,,2022-03-31T12:33:16+0300,False,Orbis Auto,,fullDay,True,"Финансовый аналитик, инвестиционный аналитик"
64,54304751,Аналитик отдела продаж,Алматы,От 1 года до 3 лет,Открытая,,2022-03-25T07:04:57+0300,False,Apple City Corps,,fullDay,True,Аналитик
65,50759091,Бизнес-аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-25T08:49:19+0300,False,Аврора Холдинг,,fullDay,True,Аналитик
66,54274569,Аналитик,Нур-Султан,От 1 года до 3 лет,Открытая,,2022-03-24T09:47:35+0300,False,Селиванова У.В.,,fullDay,True,Аналитик
67,54443921,Аналитик по трейд маркетингу,Алматы,От 1 года до 3 лет,Открытая,,2022-03-30T08:17:55+0300,False,Раимбек Боттлерс ТМ,,fullDay,True,Менеджер по маркетингу и рекламе
68,51900600,Маркетолог-аналитик,Нур-Султан,От 3 до 6 лет,Открытая,,2022-03-30T14:46:56+0300,False,«Miraba Group»,,fullDay,True,Менеджер по маркетингу и рекламе
69,54316676,Аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-25T12:17:31+0300,False,Коллекторское агентство ЦПК,,fullDay,True,Аналитик
70,54270272,Бизнес-аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-24T07:55:33+0300,False,Prime Source,,fullDay,True,Аналитик
71,54363348,Системный аналитик,Нур-Султан,От 1 года до 3 лет,Открытая,,2022-03-28T08:12:36+0300,False,АСУ Кибернетика,,fullDay,True,Аналитик
72,54306462,Бизнес-аналитик в Digital,Алматы,От 1 года до 3 лет,Открытая,,2022-03-25T08:23:56+0300,False,Мобайл Телеком-Сервис (Объединенная Компания Tele2/ALTEL),,fullDay,True,Аналитик
73,54502588,Финансовый аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-04-01T06:41:39+0300,False,ГК МАМЫР,,fullDay,True,"Финансовый аналитик, инвестиционный аналитик"
74,54316856,Помощник аналитика,Алматы,От 1 года до 3 лет,Открытая,,2022-03-25T12:23:04+0300,False,ASTER AUTO,,fullDay,True,Аналитик
75,54304538,IT-аналитик,Нур-Султан,От 1 года до 3 лет,Открытая,,2022-03-25T06:49:00+0300,False,Тамур,,fullDay,True,Аналитик
76,53363589,Логист-аналитик,Алматы,От 1 года до 3 лет,Открытая,,2022-03-31T10:52:25+0300,False,CBC-GROUP (Группа компаний СВС),,fullDay,True,"Менеджер по логистике, менеджер по ВЭД"
77,54223117,Бренд-менеджер (бренд-аналитик),Алматы,От 1 года до 3 лет,Открытая,,2022-03-31T18:54:13+0300,False,Evolution Technologies,,fullDay,True,Другое
